"";"name";"name_url";"authors";"type";"description"
"20";"Cytogenetical studies in wheat XVI. Chromosome location of a new gene for resistance to leaf rust in a Japanese wheat-rye translocation line";"https://link.springer.com/article/10.1007/BF00027060";"R. A. McIntosh, B. Friebe, J. Jiang, D. The, B. S. Gill in Euphytica (1995)";"Article";"
      A leaf rust resistant wheat-rye translocation stock, ST-1, introduced...Lr26, Yr9 and Sr31. A second type carried a new gene, Lr45..., located in a large segment of rye chromosome translocated to wheat chromosome...
    "
"21";"Screening for resistance to take-all in wheat, triticale and wheat-triticale hybrid lines";"https://link.springer.com/article/10.1007/BF00023304";"Hugh Wallwork in Euphytica (1989)";"Article";"
      Fifteen triticale and wheat-triticale hybrid lines were evaluated for resistance...Gaeumannomyces graminis var. tritici and compared with five wheat and two rye lines in inoculated field and pot trials. The triti...
    "
"22";"Influence of post-infection temperature on three components of partial resistance in wheat to wheat leaf rust";"https://link.springer.com/article/10.1007/BF00037528";"L. H. M. Broers, S. C. Wallenburg in Euphytica (1989)";"Article";"
      Three components of partial resistance (PR) were studied at three post-infection temperatures using seven spring wheat genotypes differing in level of PR and two different wheat leaf rust races. The components we...
    "
"23";"Partial resistance to wheat leaf rust in 18 spring wheat cultivars";"https://link.springer.com/article/10.1007/BF00037532";"L. H. M. Broers in Euphytica (1989)";"Article";"
      Eighteen spring wheat cultivars were tested in microfields and race nurseries for their partial resistance PR to wheat leaf rust under low and high disease...
    "
"24";"Abortion of infection structures of wheat leaf rust in susceptible and partially resistant wheat genotypes";"https://link.springer.com/article/10.1007/BF00032153";"Th. Jacobs in Euphytica (1990)";"Article";"
      Arrest of the growth of wheat leaf rust infection structures was studied with ... leaves and flag leaves of the susceptible spring wheat genotypes Morocco and Kaspar and the partially...
    "
"25";"DNA and morphological markers for a Russian wheat aphid resistance gene";"https://link.springer.com/article/10.1007/s10681-005-3191-x";"A. Arzani, J. H. Peng, N. L. V. Lapitan in Euphytica (2005)";"Article";"
      
    "
"26";"Genetic control of Russian wheat aphid (Diuraphis noxia) resistance in wheat accession PI 47545";"https://link.springer.com/article/10.1023/A%3A1012003332713";"T.M. Linscott, N.A. Bosque-Pérez, D.J. Schotzko, K.K. Kidwell, R.S. Zemetra in Euphytica (2001)";"Article";"
      The Russian wheat aphid, Diuraphis noxia...(Mordvilko), is a major pest of cereal crops in many areas of the world, causing serious reduction in grain yield in wheat (Triticum aestivum L.) and barley (Hordeum vul...
    "
"27";"The use of wheat-alien and Aegilops-rye amphiploids for introgression of genetic material to wheat";"https://link.springer.com/article/10.1023/A%3A1018309802377";"V.K. Simonenko, I.I. Motsny, A.L. Sechnyak, M.P. Kulbida in Euphytica (1998)";"Article";"
      An introduction of genetic material from rye, Aegilops and Elymus into durum and common wheat by crossing the wheat species with different amphiploids, has been attempted ... Meiotic studies of the hybrids demons...
    "
"28";"Effects of the Russian wheat aphid on osmotic potential and fructan content of winter wheat seedlings";"https://link.springer.com/article/10.1007/BF00022194";"E.W. Storlie, L.E. Talbert, G.A. Taylor, H.A. Ferguson, J.H. Brown in Euphytica (1992)";"Article";"
      The effect of an autumn Russian wheat aphid, Diuraphis noxia (Mordvilko), infestation on winter wheat, Triticum aestivum L., was investigated using osmotic potential, fructan content and field survival measuremen...
    "
"29";"Direct and indirect selection for drought tolerance in alien tetraploid wheat x durum wheat crosses";"https://link.springer.com/article/10.1023/A%3A1018328911946";"A. Al Hakimi, P. Monneveaux, M.M. Nachit in Euphytica (1998)";"Article";"
      After the evaluation of numerous accessions of primitive wheats for yield components and morphophysiological traits related ... carthlicum) were crossed with the improved durum wheat varieties Cham 1 and Om Rabi ...
    "
"30";"Inheritance and allelic relationships of resistances to the Russian wheat aphid in two Iranian wheat lines";"https://link.springer.com/article/10.1023/A%3A1026520013040";"M.T. Assad, H.R. Dorry in Euphytica (2001)";"Article";"
      Russian wheat aphid (RWA), Diuraphis noxia (Kurdjumov), is a serious pest of small grains in many countries. A previous study screened 70 genotypes, collected from different parts of Iran, for RWA resistance. Fou...
    "
"31";"The presence of three groups of Scalavatis and other hexaploid bread wheat plants contaminating durum wheat fields in Cyprus";"https://link.springer.com/article/10.1007/BF00037904";"A. C. Zeven, J. Waninge in Euphytica (1989)";"Article";"
      The mutual resemblance of 81 hexaploid wheat plants contaminating durum fields on Cyprus was ... of groups 2 and 3 have a bread wheat appearance. Suggestions on the origin of these...
    "
"32";"Increase in grain protein percentage in high-yielding common wheat breeding lines by genes from wild tetraploid wheat";"https://link.springer.com/article/10.1007/BF00041478";"A. A. Levy, M. Feldman in Euphytica (1987)";"Article";"
      Forty-one breeding lines of common wheat, derived from crosses between the Israeli cultivars ... Lakhish and high-protein lines of wild tetraploid wheat, Triticum turgidum var. dicoccoides, were tested for variou...
    "
"33";"Influence of race and post infection temperature on two components of partial resistance to wheat leaf rust in seedlings of wheat";"https://link.springer.com/article/10.1007/BF00035335";"C. J. M. Denissen in Euphytica (1991)";"Article";"
      Components of partial resistance, infection frequency and latency period, were determined in 71 winter and spring wheat genotypes in the seedling stage, after infection...
    "
"34";"Spontaneous wheat/rye translocations from female meiotic products of hybrids between octoploid triticale and wheat";"https://link.springer.com/article/10.1007/BF00025616";"Y. B. Wang, H. Hu, J. W. Snape in Euphytica (1995)";"Article";"
      Heptaploid hybrids between octoploid triticale and wheat were backcrossed as female parents with wheat to examine the rye chromosome distribution in...in situ...hybridization (GISH). One hundred and one backcross...
    "
